Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,Draft,-9999
65,Garrett Wilson,0,17,0,0,9,Sun,17,18,1/8/2023,22-170,NYJ,@,MIA,L 6-11,9,0,89,89,0,0,0,0,0,0,0,0,,0,0,17,9,89,9.9,0,52.9,5.2,5,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
66,Garrett Wilson,0,11,0,0,3,Sun,16,17,1/1/2023,22-163,NYJ,@,SEA,L 6-23,3,0,18,18,0,0,0,0,0,0,0,0,,0,0,11,3,18,6,0,27.3,1.6,1,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
67,Garrett Wilson,0,9,1,0,4,Thu,15,16,12/22/2022,22-153,NYJ,,JAX,L 3-19,4,0,30,30,0,1,0,0,0,0,0,0,,0,0,9,4,30,7.5,0,44.4,3.3,2,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
68,Garrett Wilson,0,9,0,0,4,Sun,14,15,12/18/2022,22-149,NYJ,,DET,L 17-20,4,0,98,98,0,0,0,0,0,0,0,0,,0,0,9,4,98,24.5,0,44.4,10.9,4,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
69,Garrett Wilson,0,7,0,0,6,Sun,13,14,12/11/2022,22-142,NYJ,@,BUF,L 12-20,6,0,78,78,0,0,0,0,0,0,0,0,,0,0,7,6,78,13,0,85.7,11.1,6,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
70,Garrett Wilson,0,15,0,0,8,Sun,12,13,12/4/2022,22-135,NYJ,@,MIN,L 22-27,8,0,162,162,0,0,0,0,0,0,0,0,,0,0,15,8,162,20.3,0,53.3,10.8,7,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
71,Garrett Wilson,1,8,0,2,6,Sun,11,12,11/27/2022,22-128,NYJ,,CHI,W 31-10,6,-1,94,94,0,0,0,0,0,0,1,-1,-1,0,0,8,5,95,19,2,62.5,11.9,5,2,0,0,,0,0,,0,0,12,WR,10-Jan,WilsGa00
72,Garrett Wilson,1,3,0,0,3,Sun,10,11,11/20/2022,22-121,NYJ,@,NWE,L 3-10,3,0,12,12,0,0,0,0,0,0,1,0,0,0,0,3,2,12,6,0,66.7,4,1,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
73,Garrett Wilson,1,9,1,0,9,Sun,9,9,11/6/2022,22-107,NYJ,,BUF,W 20-17,9,7,99,99,0,1,1,0,0,0,1,7,7,0,0,9,8,92,11.5,0,88.9,10.2,3,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
74,Garrett Wilson,0,7,0,0,6,Sun,8,8,10/30/2022,22-100,NYJ,,NWE,L 17-22,6,0,115,115,0,0,0,0,0,0,0,0,,0,0,7,6,115,19.2,0,85.7,16.4,5,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
75,Garrett Wilson,0,4,0,0,4,Sun,7,7,10/23/2022,22-093,NYJ,@,DEN,W 16-9,4,0,24,24,0,0,0,0,0,0,0,0,,0,0,4,4,24,6,0,100,6,2,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
76,Garrett Wilson,0,5,0,0,1,Sun,6,6,10/16/2022,22-086,NYJ,@,GNB,W 27-10,1,0,8,8,0,0,0,0,0,0,0,0,,0,,5,1,8,8,0,20,1.6,,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
77,Garrett Wilson,0,4,0,0,3,Sun,5,5,10/9/2022,22-079,NYJ,,MIA,W 40-17,3,0,27,27,0,0,0,0,0,0,0,0,,0,0,4,3,27,9,0,75,6.8,3,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
78,Garrett Wilson,0,6,0,0,2,Sun,4,4,10/2/2022,22-072,NYJ,@,PIT,W 24-20,2,0,41,41,0,0,0,0,0,0,0,0,,0,0,6,2,41,20.5,0,33.3,6.8,1,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
79,Garrett Wilson,0,11,0,0,6,Sun,3,3,9/25/2022,22-065,NYJ,,CIN,L 12-27,6,0,60,60,0,0,0,0,0,0,0,0,,0,0,11,6,60,10,0,54.5,5.5,3,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
80,Garrett Wilson,1,14,0,2,9,Sun,2,2,9/18/2022,22-058,NYJ,@,CLE,W 31-30,9,-2,100,100,0,0,0,0,0,0,1,-2,-2,0,0,14,8,102,12.8,2,57.1,7.3,6,2,0,0,,0,0,,0,0,12,WR,10-Jan,WilsGa00
81,Garrett Wilson,0,8,0,0,4,Sun,1,1,9/11/2022,22-051,NYJ,,BAL,L 9-24,4,0,52,52,0,0,1,0,0,0,0,0,,0,0,8,4,52,13,0,50,6.5,2,0,0,0,,0,0,,0,0,0,WR,10-Jan,WilsGa00
82,Cedrick Wilson Jr.,0,2,0,0,1,Sat,14,15,12/17/2022,27-027,MIA,@,BUF,L 29-32,1,0,21,21,0,0,0,0,0,0,0,0,,0,0,2,1,21,21,0,50,10.5,1,0,0,0,,0,0,,0,0,0,WR,6-208,WilsCe01
83,Cedrick Wilson Jr.,0,2,0,0,2,Sun,13,14,12/11/2022,27-021,MIA,@,LAC,L 17-23,2,0,19,19,0,0,0,0,0,0,0,0,,0,0,2,2,19,9.5,0,100,9.5,2,0,0,0,,0,0,,0,0,0,WR,6-208,WilsCe01
84,Cedrick Wilson Jr.,0,3,0,0,2,Sun,11,12,11/27/2022,27-007,MIA,,HOU,W 30-15,2,0,26,48,22,0,0,0,0,0,0,0,,0,0,3,2,26,13,0,66.7,8.7,2,0,0,0,,0,0,,0,0,0,WR,6-208,WilsCe01
85,Cedrick Wilson Jr.,0,1,0,0,1,Sun,10,10,11/13/2022,26-358,MIA,,CLE,W 39-17,1,-6,7,15,8,0,0,0,0,0,0,0,,0,,1,1,7,7,0,100,7,,0,0,0,,0,0,,0,0,0,WR,6-208,WilsCe01
86,Cedrick Wilson Jr.,0,2,0,0,2,Sun,9,9,11/6/2022,26-351,MIA,@,CHI,W 35-32,2,0,23,31,8,0,0,0,0,0,0,0,,0,0,2,2,23,11.5,0,100,11.5,2,0,0,0,,0,0,,0,0,0,WR,6-208,WilsCe01
87,Cedrick Wilson Jr.,0,4,0,0,2,Sun,5,5,10/9/2022,26-323,MIA,@,NYJ,L 17-40,2,0,20,20,0,0,0,0,0,0,0,0,,0,0,4,2,20,10,0,50,5,1,0,0,0,,0,0,,0,0,0,WR,6-208,WilsCe01
88,Cedrick Wilson Jr.,1,2,0,0,3,Sun,1,1,9/11/2022,26-295,MIA,,NWE,W 20-7,3,8,28,28,0,0,0,0,0,0,1,8,8,0,,2,2,20,10,0,100,10,,0,0,0,,0,0,,0,0,0,WR,6-208,WilsCe01
89,Malik Willis,7,0,1,1,7,Sat,15,16,12/24/2022,23-213,TEN,,HOU,L 14-19,7,131,43,43,0,1,1,0,0,0,7,43,6.1,1,4,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Mar-86,WillMa12
90,Malik Willis,1,0,0,0,1,Sun,14,15,12/18/2022,23-207,TEN,@,LAC,L 14-17,1,28,8,8,0,0,0,0,0,0,1,8,8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-86,WillMa12
91,Malik Willis,1,0,0,0,1,Sun,12,13,12/4/2022,23-193,TEN,@,PHI,L 10-35,1,24,8,8,0,0,0,0,0,0,1,8,8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-86,WillMa12
92,Malik Willis,1,0,1,0,1,Sun,9,10,11/13/2022,23-172,TEN,,DEN,W 17-10,1,-4,-4,-4,0,1,0,0,0,0,1,-4,-4,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,QB,Mar-86,WillMa12
93,Malik Willis,8,0,0,0,8,Sun,8,9,11/6/2022,23-165,TEN,@,KAN,L 17-20 (OT),8,97,40,40,0,0,0,0,0,0,8,40,5,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-86,WillMa12
94,Malik Willis,5,0,0,0,5,Sun,7,8,10/30/2022,23-158,TEN,@,HOU,W 17-10,5,52,12,12,0,0,0,0,0,0,5,12,2.4,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-86,WillMa12
95,Malik Willis,4,0,1,0,4,Mon,2,2,9/19/2022,23-117,TEN,@,BUF,L 7-41,4,22,16,16,0,1,0,0,0,0,4,16,4,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-86,WillMa12
