Rk,Team,Date,TD,Cmp,Att,Tot,TO,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Tot,TO,TD,XPA,XPM,Att,Md,Sfty
113,LAR,9/8/2022,4,26,25,413,4,Thu,1,1,,BUF,L 10-31,25,121,4.8,1,26,31,83.9,292,3,2,5,2,111.3,413,4,4,4,4,1,1,0
114,CLE,1/8/2023,3,13,37,333,1,Sun,17,18,@,PIT,L 14-28,37,144,3.9,2,13,29,44.8,189,1,1,6,0,78.1,333,1,3,2,2,2,2,0
115,TAM,1/8/2023,3,19,35,382,1,Sun,17,18,@,ATL,L 17-30,35,174,5,1,19,30,63.3,208,2,2,16,0,106,382,1,3,3,3,3,3,0
116,BAL,1/8/2023,3,25,20,257,1,Sun,17,18,@,CIN,L 16-27,20,55,2.8,1,25,42,59.5,202,1,2,13,0,79.7,257,1,3,3,3,2,2,0
117,BUF,1/8/2023,3,26,23,341,3,Sun,16,18,,NWE,W 35-23,23,107,4.7,0,26,40,65,234,3,1,9,3,74.4,341,3,3,2,2,1,1,0
118,DAL,1/8/2023,3,11,41,309,1,Sun,17,18,@,WAS,L 6-26,41,151,3.7,1,11,19,57.9,158,1,3,11,1,80.6,309,1,3,3,2,4,2,0
119,CHI,1/8/2023,3,28,38,482,2,Sun,17,18,,MIN,L 13-29,38,141,3.7,2,28,33,84.8,341,1,0,0,1,107.2,482,2,3,3,2,3,3,0
120,DEN,1/8/2023,3,30,22,352,2,Sun,17,18,,LAC,W 31-28,22,59,2.7,0,30,44,68.2,293,3,1,5,0,109.4,352,2,3,2,2,2,2,0
121,NWE,1/1/2023,3,24,27,333,2,Sun,16,17,,MIA,W 23-21,27,86,3.2,1,24,40,60,247,2,2,18,2,73.6,333,2,3,3,3,1,0,0
122,TAM,1/1/2023,3,23,22,400,3,Sun,16,17,,CAR,W 30-24,22,74,3.4,0,23,37,62.2,326,3,2,15,1,106.4,400,3,3,3,3,1,1,0
123,WAS,1/1/2023,3,9,30,301,0,Sun,16,17,,CLE,L 10-24,30,146,4.9,0,9,18,50,155,3,5,14,0,119.2,301,0,3,3,3,1,1,0
124,MIA,1/1/2023,3,20,21,249,0,Sun,16,17,@,NWE,L 21-23,21,76,3.6,0,20,33,60.6,173,2,3,31,0,94.6,249,0,3,3,2,1,1,0
125,KAN,1/1/2023,3,26,24,307,2,Sun,16,17,,DEN,W 27-24,24,117,4.9,2,26,38,68.4,190,1,4,32,1,77.7,307,2,3,3,3,1,1,0
126,TEN,12/29/2022,3,29,32,361,3,Thu,16,17,,DAL,L 13-27,32,87,2.7,1,29,41,70.7,274,2,1,8,2,84.8,361,3,3,3,3,2,2,0
127,SFO,12/24/2022,3,25,33,349,2,Sat,15,16,,WAS,W 37-20,33,79,2.4,0,25,34,73.5,270,3,2,19,1,113.6,349,2,3,2,2,0,0,0
128,NWE,12/24/2022,3,40,24,442,3,Sat,15,16,,CIN,L 18-22,24,73,3,0,40,52,76.9,369,3,2,6,2,99,442,3,3,2,1,2,1,0
129,NYG,12/24/2022,3,34,19,353,0,Sat,15,16,@,MIN,L 24-27,19,83,4.4,0,34,48,70.8,270,3,4,29,0,105.4,353,0,3,3,3,2,2,0
130,CIN,12/24/2022,3,21,16,285,1,Sat,15,16,@,NWE,W 22-18,16,61,3.8,0,21,33,63.6,224,2,4,16,0,103.6,285,1,3,2,0,0,0,0
131,SEA,12/24/2022,3,16,22,297,0,Sat,15,16,@,KAN,L 10-24,22,77,3.5,1,16,28,57.1,220,2,1,4,0,106.2,297,0,3,3,3,1,1,0
132,CAR,12/24/2022,3,25,17,381,1,Sat,15,16,,DET,W 37-23,17,45,2.6,0,25,42,59.5,336,3,2,19,0,108.8,381,1,3,2,2,1,1,0
133,LAR,12/19/2022,3,22,35,345,2,Mon,14,15,@,GNB,L 12-24,35,138,3.9,2,22,30,73.3,207,1,3,22,1,89.2,345,2,3,3,3,1,1,0
134,PHI,12/18/2022,3,14,30,248,1,Sun,14,15,@,CHI,W 25-20,30,157,5.2,1,14,22,63.6,91,2,6,61,0,102.7,248,1,3,3,2,0,0,0
135,CIN,12/18/2022,3,30,25,396,4,Sun,14,15,@,TAM,W 34-23,25,92,3.7,0,30,44,68.2,304,3,1,8,2,91.5,396,4,3,2,2,2,1,0
136,CAR,12/18/2022,3,17,45,325,0,Sun,14,15,,PIT,L 16-24,45,156,3.5,3,17,22,77.3,169,0,1,10,0,98.5,325,0,3,3,3,1,1,0
137,ATL,12/18/2022,3,13,34,348,1,Sun,14,15,@,NOR,L 18-21,34,134,3.9,0,13,19,68.4,214,3,2,17,0,145.6,348,1,3,3,3,0,0,0
138,CHI,12/18/2022,3,22,33,421,3,Sun,14,15,,PHI,L 20-25,33,112,3.4,3,22,37,59.5,309,0,1,6,2,63.9,421,3,3,2,2,2,1,0
139,ARI,12/18/2022,3,21,34,324,2,Sun,14,15,@,DEN,L 15-24,34,168,4.9,2,21,26,80.8,156,1,7,41,1,88.5,324,2,3,3,3,2,1,0
140,KAN,12/18/2022,3,14,28,219,1,Sun,14,15,@,HOU,W 30-24 (OT),28,94,3.4,1,14,29,48.3,125,2,1,4,0,83.3,219,1,3,3,3,1,1,0
141,BUF,12/17/2022,3,17,25,405,0,Sat,14,15,,MIA,W 32-29,25,188,7.5,1,17,30,56.7,217,2,2,17,0,101.7,405,0,3,2,2,3,3,0
142,SEA,12/15/2022,3,17,34,381,0,Thu,14,15,,SFO,L 13-21,34,170,5,1,17,26,65.4,211,2,1,6,0,116,381,0,3,3,3,1,0,0
143,ARI,12/12/2022,3,24,21,328,1,Mon,13,14,,NWE,L 13-27,21,103,4.9,2,24,35,68.6,225,0,1,10,1,74.1,328,1,3,3,3,2,2,0
144,CAR,12/11/2022,3,21,14,287,2,Sun,13,14,@,SEA,W 30-24,14,46,3.3,0,21,36,58.3,241,3,3,23,2,83.2,287,2,3,3,3,1,1,0
145,DET,12/11/2022,3,31,17,416,2,Sun,13,14,,MIN,W 34-23,17,22,1.3,1,31,41,75.6,394,2,4,31,0,121.4,416,2,3,2,2,1,1,0
146,SEA,12/11/2022,3,14,46,328,0,Sun,13,14,,CAR,L 24-30,46,223,4.8,2,14,24,58.3,105,1,2,15,0,82.8,328,0,3,3,3,3,3,0
147,JAX,12/11/2022,3,25,20,364,4,Sun,13,14,@,TEN,W 36-22,20,137,6.9,1,25,38,65.8,227,2,4,27,1,88.4,364,4,3,2,2,0,0,0
148,CLE,12/11/2022,3,18,26,363,1,Sun,13,14,@,CIN,L 10-23,26,136,5.2,1,18,33,54.5,227,2,2,12,1,83.8,363,1,3,3,2,1,1,0
