Team,week,games,cum_off_cmp,cum_off_pas_att,cum_off_pas_yds,cum_off_pas_tds,cum_off_int,cum_off_fmb,cum_off_rus_att,cum_off_rus_yds,cum_off_rus_tds
ARI,3,3,92,145,744,3,1,0,71,316,3
ATL,3,3,50,79,593,3,3,4,96,470,4
BAL,3,3,56,88,735,10,2,1,72,406,2
BUF,3,3,94,134,987,9,2,3,72,337,1
CAR,3,3,42,81,484,3,1,2,73,345,2
CHI,3,3,23,45,235,2,4,0,104,560,4
CIN,3,3,80,125,725,6,4,2,87,291,0
CLE,3,3,61,92,564,4,1,0,114,572,5
DAL,3,3,61,104,618,2,1,1,75,354,2
DEN,3,3,63,106,691,2,1,2,84,353,1
DET,3,3,66,112,716,7,2,0,87,511,5
GNB,3,3,72,99,686,4,2,3,81,381,2
