player,team,Position,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
Matt Ryan,ATL,QB,17,17,22.058823529411764,32.94117647058823,233.41176470588235,1.1764705882352942,2.3529411764705883,4.823529411764706,0.0588235294117647,0,0,0,0,0.7058823529411765,0.6470588235294118,0.26390704429920114,2.411764705882353,0.10942487202649805
David Njoku,CLE,TE,16,11,0,0,0,0,0.0625,0.0625,0,3.3125,2.25,29.6875,0.25,0,0,0,2.375,0
Brandin Cooks,HOU,WR,16,16,0,0,0,0,0.125,1.3125,0,8.375,5.625,64.8125,0.375,0,0,0,5.8125,0
David Montgomery,CHI,RB,13,13,0,0.07692307692307693,0,0,17.307692307692307,65.3076923076923,0.5384615384615384,3.923076923076923,3.230769230769231,23.153846153846153,0,0,0.07692307692307693,0.04605887939221272,20.615384615384617,0.00223419937350285
Taylor Heinicke,WAS,QB,15.2,15,21.11842105263158,32.5,224.9342105263158,1.3157894736842106,3.947368421052632,20.592105263157897,0.06578947368421052,0.06578947368421052,0.06578947368421052,-0.13157894736842105,0,0.986842105263158,0.4605263157894738,0.17706302794022094,4.078947368421053,0.04340900039824771
AJ Dillon,GB,RB,17,2,0,0,0,0,11,47.23529411764706,0.29411764705882354,2.176470588235294,2,18.41176470588235,0.1176470588235294,0,0.1176470588235294,0.05279593318809005,13.058823529411764,0.00404293182070959
Jaylen Waddle,MIA,WR,16,16,0,0,0,0,0.125,0.1875,0.0625,8.75,6.5,63.4375,0.375,0,0.125,0.05609567901234567,6.6875,0.00838813891773393
Gerald Everett,SEA,TE,15,12,0,0,0,0,0.2,1.3333333333333333,0,4.2,3.2,31.866666666666667,0.26666666666666666,0,0.13333333333333333,0.07983539094650206,3.466666666666667,0.02302943969610636
Ben Roethlisberger,PIT,QB,16,16,24.375,37.8125,233.75,1.375,1.25,0.3125,0.0625,0,0,0,0,0.625,0.6875,0.2991512345679012,1.3125,0.22792475014697236
Cole Kmet,CHI,TE,17,17,0,0,0,0,0.0588235294117647,0,0,5.470588235294118,3.5294117647058822,36,0,0,0,0,3.647058823529412,0
Darrel Williams,KC,RB,17,7,0,0,0,0,8.470588235294118,32.8235294117647,0.35294117647058826,3.3529411764705883,2.764705882352941,26.58823529411765,0.1176470588235294,0,0,0,11.294117647058824,0
Darnell Mooney,CHI,WR,17,14,0,0,0,0,0.35294117647058826,1.8823529411764703,0.0588235294117647,8.235294117647058,4.764705882352941,62.05882352941177,0.2352941176470588,0,0,0,5.176470588235294,0
Teddy Bridgewater,DEN,QB,14.000000000000002,14,20.357142857142858,30.428571428571423,217.99999999999997,1.2857142857142856,2.142857142857143,7.57142857142857,0.14285714285714285,0,0,0,0,0.49999999999999994,0.07142857142857142,0.0427689594356261,2.214285714285714,0.01931501393866985
Amon Ra St Brown,DET,WR,17,9,0,0,0,0,0.4117647058823529,3.588235294117647,0.0588235294117647,7,5.294117647058823,53.64705882352941,0.29411764705882354,0,0,0,5.764705882352941,0
Evan Engram,NYG,TE,15,12,0,0,0,0,0.06666666666666667,-0.2,0,4.866666666666666,3.066666666666667,27.2,0.2,0,0.06666666666666667,0.03991769547325103,3.2,0.01247427983539094
D Andre Swift,DET,RB,13,4,0,0.07692307692307693,0,0,11.615384615384617,47.46153846153846,0.38461538461538464,6,4.769230769230769,34.76923076923077,0.15384615384615383,0,0.15384615384615383,0.06904083570750237,16.46153846153846,0.00419406945886696
Trevor Lawrence,JAC,QB,17,17,21.11764705882353,35.411764705882355,214.1764705882353,0.7058823529411765,4.294117647058823,19.647058823529413,0.1176470588235294,0,0,0,0,1,0.5294117647058824,0.2464052287581699,4.352941176470588,0.05660660660660659
Mo Alie Cox,IND,TE,17,7,0,0,0,0,0,0,0,2.6470588235294117,1.411764705882353,18.58823529411765,0.2352941176470588,0,0.0588235294117647,0.01757443718228031,1.4705882352941178,0.01195061728395061
Elijah Mitchell,SF,RB,11,10,0,0,0,0,18.818181818181817,87.54545454545455,0.4545454545454546,1.818181818181818,1.7272727272727273,12.454545454545457,0.09090909090909093,0,0,0,20.636363636363637,0
Terry McLaurin,WAS,WR,17,17,0,0,0,0,0.0588235294117647,0.7058823529411765,0,7.647058823529412,4.529411764705882,61.94117647058823,0.29411764705882354,0,0,0,4.647058823529412,0
Jared Goff,DET,QB,14.000000000000002,14,23.71428571428571,35.285714285714285,231.78571428571425,1.357142857142857,1.2142857142857142,6.2142857142857135,0,0,0,0,0,0.5714285714285714,0.6428571428571428,0.3206349206349206,1.2857142857142856,0.24938271604938272
Foster Moreau,LV,TE,17,11,0,0,0,0,0,0,0,2.588235294117647,1.7647058823529411,21.941176470588236,0.17647058823529413,0,0.0588235294117647,0.01757443718228031,1.8235294117647056,0.00963759458383114
Tua Tagovailoa,MIA,QB,12.2,12,21.557377049180324,31.80327868852459,217.4590163934426,1.3114754098360657,3.442622950819672,10.491803278688524,0.24590163934426224,0,0,0,0,0.8196721311475409,0.7377049180327868,0.2449908925318761,3.524590163934426,0.06950904392764858
Marquise Brown,BAL,WR,16,16,0,0,0,0,0.0625,0.3125,0,9.125,5.6875,63,0.375,0,0.1875,0.07476851851851851,5.8125,0.01286340103544404
James Robinson,JAC,RB,14,13,0,0,0,0,11.714285714285714,54.785714285714285,0.5714285714285714,3.2857142857142856,2.2142857142857144,15.857142857142858,0,0,0.2857142857142857,0.12821869488536156,14,0.00915847820609725
Austin Hooper,CLE,TE,16,16,0,0,0,0,0,0,0,3.8125,2.375,21.5625,0.1875,0,0,0,2.4375,0
Darrell Henderson,LAR,RB,12,10,0,0,0,0,12.416666666666666,57.333333333333336,0.4166666666666667,3.3333333333333335,2.4166666666666665,14.666666666666666,0.25,0,0,0,14.916666666666666,0
Amari Cooper,DAL,WR,15,14,0,0,0,0,0,0,0,6.933333333333334,4.533333333333333,57.666666666666664,0.5333333333333333,0,0.06666666666666667,0.01991769547325102,4.6,0.00432993379853283
Baker Mayfield,CLE,QB,14.000000000000002,14,18.07142857142857,29.857142857142858,214.99999999999997,1.2142857142857142,2.6428571428571423,9.57142857142857,0.07142857142857142,0,0,0.7857142857142856,0,0.9285714285714284,0.4285714285714285,0.19232804232804224,2.714285714285714,0.07085769980506822
Jack Doyle,IND,TE,17,14,0,0,0,0,0,0,0,2.5294117647058822,1.7058823529411764,17.764705882352942,0.17647058823529413,0,0,0,1.7647058823529411,0
Adam Thielen,MIN,WR,13,13,0,0,0,0,0.07692307692307693,0.15384615384615383,0,7.3076923076923075,5.153846153846154,55.84615384615385,0.7692307692307693,0,0.07692307692307693,0.02298195631528964,5.3076923076923075,0.00432993379853283
Sony Michel,LAR,RB,17,7,0,0,0,0,12.235294117647058,49.705882352941174,0.2352941176470588,1.9411764705882353,1.2352941176470589,7.529411764705882,0.0588235294117647,0,0.0588235294117647,0.03522149600580973,13.529411764705882,0.0026033279656468
Daniel Jones,NYG,QB,11,11,21.09090909090909,32.81818181818182,220.72727272727272,0.9090909090909092,5.636363636363637,27.09090909090909,0.18181818181818185,0.09090909090909093,0.09090909090909093,1.4545454545454546,0,0.6363636363636364,0.6363636363636364,0.2719416386083053,5.818181818181818,0.04673996913580246
Cameron Brate,TB,TE,17,3,0,0,0,0,0,0,0,3.3529411764705883,1.7647058823529411,14.411764705882351,0.2352941176470588,0,0,0,1.8235294117647056,0
Christian Kirk,ARI,WR,17,11,0.0588235294117647,0.0588235294117647,1.9411764705882353,0,0.0588235294117647,0.6470588235294118,0,6.0588235294117645,4.529411764705882,57.76470588235294,0.29411764705882354,0,0,0,4.647058823529412,0
Myles Gaskin,MIA,RB,17,10,0,0,0,0,10.176470588235292,36,0.17647058823529413,3.7058823529411766,2.8823529411764706,13.764705882352942,0.2352941176470588,0,0.1176470588235294,0.05279593318809005,13.117647058823527,0.00402480208160327
Sam Darnold,CAR,QB,11.2,11,21.69642857142857,36.25,225.62499999999997,0.8035714285714285,4.285714285714286,19.82142857142857,0.4464285714285714,0,0,0,0,1.1607142857142856,0.8035714285714285,0.34722222222222215,4.375,0.07936507936507936
Tony Pollard,DAL,RB,15,0,0,0,0,0,8.666666666666666,47.93333333333333,0.13333333333333333,3.066666666666667,2.6,22.466666666666665,0,0,0.13333333333333333,0.03983539094650205,11.333333333333334,0.00351488743645606
Anthony Firkser,TEN,TE,15,1,0,0,0,0,0,0,0,2.8666666666666667,2.2666666666666666,19.4,0.13333333333333333,0,0.13333333333333333,0.05983539094650205,2.3333333333333335,0.0256437389770723
