Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank▲,OvRank
375,Jerry Jeudy,DEN,WR,22,10,5,0,0,0,0,0,2,3,1.5,0,56,38,467,12.29,0,1,0,0,,,47,85,88,66,,96,
376,Shane Zylstra,DET,TE,25,4,0,0,0,0,0,0,0,0,,0,7,3,34,11.33,0,0,0,0,,,3,6.4,6.4,4.9,,97,
377,Adrian Peterson,2TM,RB,36,4,3,0,0,0,0,0,38,98,2.58,2,4,4,8,2,0,1,0,2,,,23,26.6,26.6,24.6,,97,
378,Mack Hollins,MIA,WR,28,17,3,0,0,0,0,0,0,0,,0,28,14,223,15.93,4,0,0,4,,,46,60.3,63.3,53.3,,97,
379,Colby Parkinson,SEA,TE,22,14,1,0,0,0,0,0,0,0,,0,8,5,33,6.6,0,0,0,0,,,3,8.3,8.3,5.8,,98,
380,Eno Benjamin,ARI,RB,22,9,0,0,0,0,0,0,34,118,3.47,1,7,6,42,7,0,0,0,1,,,22,28,31,25,,98,
381,Jalen Reagor,PHI,WR,22,17,13,0,0,0,0,0,10,32,3.2,0,57,33,299,9.06,2,2,0,2,,,45,78.1,81.1,61.6,,98,
382,Kaden Smith,NYG,TE,24,9,4,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0,,,3,6.3,6.3,4.8,,99,
383,Jermar Jefferson,DET,RB,21,7,0,0,0,0,0,0,15,74,4.93,2,5,4,23,5.75,0,0,0,2,,,22,25.7,25.7,23.7,,99,
384,Danny Amendola,HOU,WR,36,8,0,0,1,0,0,0,0,0,,0,38,24,248,10.33,3,1,0,3,1,,45,68.8,71.8,56.8,,99,
385,Tommy Hudson,TEN,TE,24,5,0,0,0,0,0,0,0,0,,0,6,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,100,
386,Demarcus Robinson,KAN,WR,27,17,10,0,0,0,0,0,0,0,,0,41,25,264,10.56,3,0,0,3,,,44,69.4,72.4,56.9,,100,
