rk,player,st_snp_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp_17,st_percent,pos,x9999
282,Jerick McKinnon,8,Sun,7,7,2022-10-23,30-173,KAN,@,SFO,W 44-23,28,43.8,0,0,8,28.6,RB,McKiJe00
308,Kevin White,7,Thu,7,7,2022-10-20,30-117,NOR,@,ARI,L 34-42,21,29.2,0,0,7,21.9,WR,WhitKe00
336,Tyler Lockett,1,Sun,7,7,2022-10-23,30-025,SEA,@,LAC,W 37-23,46,64.8,0,0,1,3.4,WR,LockTy00
353,Derek Watt,18,Sun,7,7,2022-10-23,29-350,PIT,@,MIA,L 10-16,7,9.3,0,0,18,69.2,FB,WattDe00
393,C.J. Uzomah,11,Sun,7,7,2022-10-23,29-282,NYJ,@,DEN,W 16-9,36,61,0,0,11,39.3,TE,UzomC.00
406,Stephen Anderson,25,Thu,7,7,2022-10-20,29-263,ARI,NA,NOR,W 42-34,6,9.1,0,0,25,78.1,TE,AndeSt01
416,Nick Boyle,8,Sun,7,7,2022-10-23,29-248,BAL,NA,CLE,W 23-20,9,14.1,0,0,8,29.6,TE,BoylNi00
443,Brandon Zylstra,9,Sun,6,7,2022-10-23,29-212,DET,@,DAL,L 6-24,0,0,0,0,9,40.9,WR,ZylsBr00
450,DeAndre Carter,10,Sun,7,7,2022-10-23,29-196,LAC,NA,SEA,L 23-37,67,94.4,0,0,10,34.5,WR,CartDe02
453,Tevin Coleman,1,Sun,7,7,2022-10-23,29-190,SFO,NA,KAN,L 23-44,0,0,0,0,1,3.6,RB,ColeTe01
491,Ameer Abdullah,13,Sun,6,7,2022-10-23,29-132,LVR,NA,HOU,W 38-20,7,12.5,0,0,13,48.1,RB,AbduAm00
542,J.D. McKissic,1,Sun,7,7,2022-10-23,29-069,WAS,NA,GNB,W 23-21,12,16.2,0,0,1,3.4,RB,McKiJ.00
551,Hayden Hurst,5,Sun,7,7,2022-10-23,29-060,CIN,NA,ATL,W 35-17,42,61.8,0,0,5,20,TE,HursHa00
557,J.P. Holtz,8,Thu,7,7,2022-10-20,29-053,NOR,@,ARI,L 34-42,13,18.1,0,0,8,25,TE,HoltJ.01
571,Breshad Perriman,2,Sun,7,7,2022-10-23,29-043,TAM,@,CAR,L 3-21,10,14.9,0,0,2,8.3,WR,PerrBr02
575,Mack Hollins,3,Sun,6,7,2022-10-23,29-037,LVR,NA,HOU,W 38-20,56,100,0,0,3,11.1,WR,HollMa00
576,Geoff Swaim,11,Sun,6,7,2022-10-23,29-037,TEN,NA,IND,W 19-10,37,62.7,0,0,11,45.8,TE,SwaiGe00
579,Mo Alie-Cox,7,Sun,7,7,2022-10-23,29-034,IND,@,TEN,L 10-19,24,37.5,0,0,7,29.2,TE,AlieMo00
622,Cody Hollister,12,Sun,6,7,2022-10-23,28-339,TEN,NA,IND,W 19-10,22,37.3,0,0,12,50,WR,HollCo00
656,Justin Hardee,20,Sun,7,7,2022-10-23,28-258,NYJ,@,DEN,W 16-9,0,0,0,0,20,71.4,WR,HardJu01
723,Dwayne Washington,26,Thu,7,7,2022-10-20,28-179,NOR,@,ARI,L 34-42,1,1.4,0,0,26,81.3,RB,WashDw00
725,Trent Taylor,6,Sun,7,7,2022-10-23,28-176,CIN,NA,ATL,W 35-17,13,19.1,0,0,6,24,WR,TaylTr02
726,Eric Saubert,22,Sun,7,7,2022-10-23,28-175,DEN,NA,NYJ,L 9-16,15,19,0,0,22,78.6,TE,SaubEr00
729,Pharaoh Brown,2,Sun,7,7,2022-10-23,28-172,CLE,@,BAL,L 20-23,11,18.3,0,0,2,7.4,TE,BrowPh01
730,Dare Ogunbowale,16,Sun,6,7,2022-10-23,28-172,HOU,@,LVR,L 20-38,8,12.3,0,0,16,59.3,RB,OgunDa00
743,Alex Armah,7,Sun,7,7,2022-10-23,28-159,WAS,NA,GNB,W 23-21,3,4.1,0,0,7,24.1,FB,ArmaAl00
756,Patrick Ricard,5,Sun,7,7,2022-10-23,28-149,BAL,NA,CLE,W 23-20,56,87.5,0,0,5,18.5,FB,RicaPa00
809,Marcus Johnson,4,Sun,7,7,2022-10-23,28-079,NYG,@,JAX,W 23-17,61,79.2,0,0,4,18.2,WR,JohnMa07
810,Kalif Raymond,5,Sun,6,7,2022-10-23,28-076,DET,@,DAL,L 6-24,53,89.8,0,0,5,22.7,WR,RaymKa00
813,Mike Thomas,16,Sun,7,7,2022-10-23,28-068,CIN,NA,ATL,W 35-17,13,19.1,0,0,16,64,WR,ThomMi04
881,Corey Clement,16,Thu,7,7,2022-10-20,27-352,ARI,NA,NOR,W 42-34,1,1.5,0,0,16,50,RB,ClemCo00
889,Tanner Hudson,4,Sun,7,7,2022-10-23,27-345,NYG,@,JAX,W 23-17,30,39,0,0,4,18.2,TE,HudsTa00
893,O.J. Howard,5,Sun,6,7,2022-10-23,27-338,HOU,@,LVR,L 20-38,29,44.6,0,0,5,18.5,TE,HowaO.00
919,Jakob Johnson,9,Sun,6,7,2022-10-23,27-312,LVR,NA,HOU,W 38-20,16,28.6,0,0,9,33.3,FB,JohnJa12
943,KhaDarel Hodge,15,Sun,7,7,2022-10-23,27-293,ATL,@,CIN,L 17-35,2,4.3,0,0,15,60,WR,HodgKh00
973,Ross Dwelley,13,Sun,7,7,2022-10-23,27-270,SFO,NA,KAN,L 23-44,11,13.9,0,0,13,46.4,TE,DwelRo00
1012,Dontrell Hilliard,9,Sun,6,7,2022-10-23,27-239,TEN,NA,IND,W 19-10,17,28.8,0,0,9,37.5,RB,HillDo00
1014,Matt Breida,11,Sun,7,7,2022-10-23,27-237,NYG,@,JAX,W 23-17,18,23.4,0,0,11,50,RB,BreiMa00
1031,Dan Arnold,8,Sun,7,7,2022-10-23,27-222,JAX,NA,NYG,L 17-23,10,14.1,0,0,8,36.4,TE,ArnoDa00
1074,Kevin Rader,15,Sun,6,7,2022-10-23,27-180,TEN,NA,IND,W 19-10,14,23.7,0,0,15,62.5,TE,RadeKe00
1091,Cullen Gillaspia,17,Sun,7,7,2022-10-23,27-164,SEA,@,LAC,W 37-23,0,0,0,0,17,58.6,RB,GillCu00
1113,Parker Hesse,15,Sun,7,7,2022-10-23,27-150,ATL,@,CIN,L 17-35,32,68.1,0,0,15,60,TE,HessPa00
1134,Jason Moore,7,Sun,7,7,2022-10-23,27-122,LAC,NA,SEA,L 23-37,18,25.4,0,0,7,24.1,WR,MoorJa02
1143,Mike Boone,7,Sun,7,7,2022-10-23,27-115,DEN,NA,NYJ,L 9-16,9,11.4,0,0,7,25,RB,BoonMi00
1183,Tyler Conklin,4,Sun,7,7,2022-10-23,27-085,NYJ,@,DEN,W 16-9,44,74.6,0,0,4,14.3,TE,ConkTy00
1202,Marcus Kemp,21,Sun,7,7,2022-10-23,27-070,KAN,@,SFO,W 44-23,6,9.4,0,0,21,75,WR,KempMa00
1213,Jonnu Smith,7,Mon,7,7,2022-10-24,27-063,NWE,NA,CHI,L 14-33,17,32.7,0,0,7,28,TE,SmitJo01
1233,Richie James,2,Sun,7,7,2022-10-23,27-048,NYG,@,JAX,W 23-17,7,9.1,0,0,2,9.1,WR,JameRi00
1242,Trevon Wesco,3,Mon,7,7,2022-10-24,27-042,CHI,@,NWE,W 33-14,20,28.2,0,0,3,12,TE,WescTr00
1249,Samaje Perine,13,Sun,7,7,2022-10-23,27-037,CIN,NA,ATL,W 35-17,20,29.4,0,0,13,52,RB,PeriSa00
1275,Braxton Berrios,9,Sun,7,7,2022-10-23,27-017,NYJ,@,DEN,W 16-9,33,55.9,0,0,9,32.1,WR,BerrBr00
1276,Chris Myarick,10,Sun,7,7,2022-10-23,27-017,NYG,@,JAX,W 23-17,46,59.7,0,0,10,45.5,FB,MyarCh00
1305,Dante Pettis,4,Mon,7,7,2022-10-24,27-001,CHI,@,NWE,W 33-14,22,31,0,0,4,16,WR,PettDa00
1332,Jeff Wilson,2,Sun,7,7,2022-10-23,26-341,SFO,NA,KAN,L 23-44,26,32.9,0,0,2,7.1,RB,WilsJe01
1337,Cedrick Wilson Jr.,6,Sun,7,7,2022-10-23,26-337,MIA,NA,PIT,W 16-10,4,6.5,0,0,6,23.1,WR,WilsCe01
