,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,,PAT,PAT,,FG,FG,,,,,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Fmb,FR,Yds,FRTD,FF,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
249,Ben Ellefson,27.4,0,0,1,0,0,Sun,1,1,2022-09-11,26-010,MIN,,GNB,W 23-7,0,0,,0,,,1,1,2,2.0,0,100.0,2.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,17,27.4,0,0.0,12,52.2,TE,ElleBe00
250,Rachaad White,27.4,0,6,2,0,0,Sun,1,1,2022-09-11,23-232,TAM,@,DAL,W 19-3,6,14,2.3,0,1,50.0,2,2,7,3.5,0,100.0,3.5,0,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,17,27.4,0,0.0,16,66.7,RB,WhitRa01
251,Eric Saubert,27.3,0,0,1,0,0,Mon,1,1,2022-09-12,28-134,DEN,@,SEA,L 16-17,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,18,27.3,0,0.0,14,73.7,TE,SaubEr00
252,Joshua Kelley,26.9,0,4,2,0,0,Sun,1,1,2022-09-11,24-295,LAC,,LVR,W 24-19,4,21,5.3,0,2,50.0,2,2,14,7.0,0,100.0,7.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,18,26.9,0,0.0,16,66.7,RB,KellJo01
253,KhaDarel Hodge,26.7,0,0,3,0,0,Sun,1,1,2022-09-11,27-251,ATL,,NOR,L 26-27,0,0,,0,0,,3,3,38,12.7,0,100.0,12.7,1,66.7,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,20,26.7,0,0.0,20,62.5,WR,HodgKh00
254,Ray-Ray McCloud,26.5,0,0,2,0,0,Sun,1,1,2022-09-11,25-331,SFO,@,CHI,L 10-19,0,0,,0,0,,2,1,20,20.0,0,50.0,10.0,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,18,26.5,0,0.0,10,41.7,WR,McClRa00
255,Taysom Hill,26.2,0,4,1,0,0,Sun,1,1,2022-09-11,32-019,NOR,@,ATL,W 27-26,4,81,20.3,1,2,100.0,1,1,2,2.0,0,100.0,2.0,0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,16,26.2,0,0.0,9,28.1,TE/QB,HillTa00
256,Tee Higgins,26.0,0,0,2,0,0,Sun,1,1,2022-09-11,23-236,CIN,,PIT,L 20-23 (OT),0,0,,0,0,,2,2,27,13.5,0,100.0,13.5,2,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,26,26.0,0,0.0,0,0.0,WR,HiggTe00
257,Samaje Perine,26.0,0,1,5,0,0,Sun,1,1,2022-09-11,26-360,CIN,,PIT,L 20-23 (OT),1,4,4.0,0,0,0.0,5,3,33,11.0,0,60.0,6.6,1,40.0,0,1,-5,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,26,26.0,0,0.0,21,65.6,RB,PeriSa00
258,Elijah Mitchell,25.0,0,6,0,0,0,Sun,1,1,2022-09-11,24-132,SFO,@,CHI,L 10-19,6,41,6.8,0,2,66.7,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,17,25.0,0,0.0,0,0.0,RB,MitcEl00
259,Tyler Davis,24.6,0,0,1,0,0,Sun,1,1,2022-09-11,25-162,GNB,@,MIN,L 7-23,0,0,,0,,,1,1,3,3.0,0,100.0,3.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,15,24.6,0,0.0,17,73.9,TE,DaviTy02
