Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
51,Allen Robinson,0,0,5,1,0,82.8,Sun,10,11,2022-11-20,29-088,LAR,@,NOR,L 20-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,4,47,11.8,1,80.0,9.4,4,80.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,53,82.8,0,0.0,0,0.0,WR,RobiAl02
52,Mack Hollins,0,0,9,0,0,100.0,Sun,10,11,2022-11-20,29-065,LVR,@,DEN,W 22-16 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,6,52,8.7,0,66.7,5.8,1,55.6,0,0,0,,0,0,,0,0,0,0,0,0,0,0,66,100.0,1,1.6,2,6.9,WR,HollMa00
53,Mo Alie-Cox,0,0,1,0,0,61.5,Sun,11,11,2022-11-20,29-062,IND,,PHI,L 16-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,14,14.0,0,100.0,14.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,40,61.5,0,0.0,5,20.0,TE,AlieMo00
54,Geoff Swaim,0,0,1,0,0,71.2,Thu,10,11,2022-11-17,29-062,TEN,@,GNB,W 27-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,1,3,3.0,0,100.0,3.0,,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,47,71.2,0,0.0,8,36.4,TE,SwaiGe00
55,Brandin Cooks,0,0,6,0,0,80.4,Sun,10,11,2022-11-20,29-056,HOU,,WAS,L 10-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,3,70,23.3,0,50.0,11.7,3,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,45,80.4,0,0.0,0,0.0,WR,CookBr00
56,George Kittle,0,0,6,2,0,74.1,Mon,10,11,2022-11-21,29-043,SFO,@,ARI,W 38-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,4,84,21.0,2,66.7,14.0,3,66.7,2,0,0,,0,0,,0,0,12,0,0,0,0,0,43,74.1,0,0.0,0,0.0,TE,KittGe00
57,Marcus Mariota,13,13,0,1,0,100.0,Sun,11,11,2022-11-20,29-021,ATL,,CHI,W 27-24,13,20,7,65.0,131,1,0,0,5.0,0.0,100.2,0,0,0.00,6.6,7.55,7.55,10.1,55.0,13,25,1.9,1,3,38.5,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,0,0,0,0,0,55,100.0,0,0.0,0,0.0,QB,MariMa01
58,Kenny Golladay,0,0,2,0,0,43.4,Sun,10,11,2022-11-20,29-017,NYG,,DET,L 18-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,29,14.5,0,100.0,14.5,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,33,43.4,0,0.0,0,0.0,WR,GollKe00
59,Cooper Rush,4,0,0,0,0,11.1,Sun,10,11,2022-11-20,28-364,DAL,@,MIN,W 40-3,4,5,1,80.0,31,0,0,0,0.0,0.0,92.5,0,0,0.00,6.2,6.20,6.20,7.8,60.0,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,8,11.1,0,0.0,0,0.0,QB,RushCo00
60,Stefon Diggs,0,0,5,1,0,66.2,Sun,10,11,2022-11-20,28-356,BUF,,CLE,W 31-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,4,48,12.0,1,80.0,9.6,3,80.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,43,66.2,0,0.0,2,6.7,WR,DiggSt00
