Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
48,Ty Montgomery,36.8,0,2,4,0,0,Sun,1,1,2022-09-11,29-232,NWE,@,MIA,L 7-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,-2,-1.0,0,0,0.0,4,3,15,5.0,1,75.0,3.8,1,25.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,21,36.8,0,0.0,7,36.8,WR,MontTy01
49,Stephen Anderson,13.8,0,0,0,0,0,Sun,1,1,2022-09-11,29-224,ARI,,KAN,L 21-44,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,9,13.8,0,0.0,13,48.1,TE,AndeSt01
50,Sterling Shepard,71.7,0,0,4,0,0,Sun,1,1,2022-09-11,29-213,NYG,@,TEN,W 21-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,2,71,35.5,1,50.0,17.8,1,25.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,43,71.7,0,0.0,0,0.0,WR,ShepSt00
51,Mike Davis,12.5,0,2,0,0,1,Sun,1,1,2022-09-11,29-204,BAL,@,NYJ,W 24-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,11,5.5,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,0,0,0,7,12.5,0,0.0,0,0.0,RB,DaviMi01
52,Michael Thomas,60.7,0,0,8,0,0,Sun,1,1,2022-09-11,29-192,NOR,@,ATL,W 27-26,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,5,57,11.4,2,62.5,7.1,4,62.5,2,0,0,,0,0,,0,0,12,0,0,0,0,0,37,60.7,0,0.0,0,0.0,WR,ThomMi05
53,DeAndre Carter,37.3,0,0,4,0,0,Sun,1,1,2022-09-11,29-154,LAC,,LVR,W 24-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,64,21.3,1,75.0,16.0,3,75.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,25,37.3,0,0.0,7,29.2,WR,CartDe02
54,Melvin Gordon,40.9,0,12,2,0,1,Mon,1,1,2022-09-12,29-152,DEN,@,SEA,L 16-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,12,58,4.8,0,2,50.0,2,2,14,7.0,0,100.0,7.0,0,0.0,0,0,0,,0,0,,0,0,0,1,0,0,0,0,27,40.9,0,0.0,0,0.0,RB,GordMe00
55,Jeff Driskel,2.9,0,1,0,0,0,Sun,1,1,2022-09-11,29-141,HOU,,IND,T 20-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,5,5.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,2.9,0,0.0,0,0.0,QB,DrisJe00
56,Robbie Chosen,100.0,0,0,8,0,0,Sun,1,1,2022-09-11,29-125,CAR,,CLE,L 24-26,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,5,102,20.4,1,62.5,12.8,1,25.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,53,100.0,0,0.0,0,0.0,WR,AndeRo04
57,Nelson Agholor,57.9,0,0,5,0,1,Sun,1,1,2022-09-11,29-110,NWE,@,MIA,L 7-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,3,28,9.3,0,60.0,5.6,1,40.0,0,0,0,,0,0,,0,0,0,1,0,0,0,0,33,57.9,0,0.0,0,0.0,WR,AghoNe00
58,Ameer Abdullah,12.1,0,0,1,0,0,Sun,1,1,2022-09-11,29-090,LVR,@,LAC,L 19-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,7,12.1,0,0.0,10,41.7,RB,AbduAm00
59,Sammy Watkins,67.2,0,0,3,0,0,Sun,1,1,2022-09-11,29-089,GNB,@,MIN,L 7-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,18,6.0,0,100.0,6.0,2,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,41,67.2,0,0.0,0,0.0,WR,WatkSa00
60,Chris Moore,48.6,0,0,3,0,0,Sun,1,1,2022-09-11,29-087,HOU,,IND,T 20-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,31,10.3,0,100.0,10.3,2,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,34,48.6,0,0.0,0,0.0,WR,MoorCh00
61,Cooper Kupp,100.0,0,0,15,0,0,Thu,1,1,2022-09-08,29-085,LAR,,BUF,L 10-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,15,13,128,9.8,1,86.7,8.5,6,73.3,1,0,0,,0,0,,0,0,6,0,0,0,0,0,67,100.0,0,0.0,0,0.0,WR,KuppCo00
62,Jamison Crowder,30.5,0,0,4,0,0,Thu,1,1,2022-09-08,29-083,BUF,@,LAR,W 31-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,28,9.3,0,75.0,7.0,3,75.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,18,30.5,0,0.0,4,21.1,WR,CrowJa00
63,C.J. Ham,22.6,0,0,1,0,0,Sun,1,1,2022-09-11,29-051,MIN,,GNB,W 23-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,6,6.0,0,100.0,6.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,14,22.6,0,0.0,17,73.9,FB,HamxC.00
