Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jase McClellan,ATL,RB90,31.2,129.1,1,5.4,43.7,0.4,0,25.5
Justin Watson,KC,WR130,0,0,0,12.7,179.1,1.3,0.1,25.4
Tanner Hudson,CIN,TE52,0,0,0,17.8,171.4,1.4,0,25.3
Rasheen Ali,BAL,RB91,26.4,149.1,1.2,3.9,31,0.1,0,25.3
Jake Bobo,SEA,WR131,0,1.3,0,15,173.7,1.3,0.1,25
Isaiah Hodgins,NYG,WR132,0,4,0,14,183,1,0,24.7
David Bell,CLE,WR133,0,1,0,15.2,157.5,1.5,0,24.7
Rakim Jarrett,TB,WR134,0,10,0,14,175,1,0,24.5
Donovan Peoples-Jones,DET,WR135,0,4,0,13,181,1,0,24.5
Michael Carter,ARI,RB92,0,111,1,10,69,0,0,24
Austin Hooper,NE,TE53,0,0,0,19.4,184.2,0.9,0,23.9
Kyle Juszczyk,SF,RB93,5.6,20.2,0.1,15,143.8,1.1,0,23.8
Jeremy Ruckert,NYJ,TE54,0,0,0,16.7,165.9,1.2,0.1,23.8
Donald Parham Jr.,DEN,TE55,0,0,0,14.4,150.6,1.4,0,23.7
Elijah Higgins,ARI,TE56,0,0,0,16.3,177.6,1,0,23.6
Johnny Mundt,MIN,TE57,0,0,0,18.4,174.1,1,0.1,23.5
Kevin Harris,NE,RB94,4.5,134.1,1.1,5,36.6,0,0,23.4
Malik Washington,MIA,WR136,2.1,13.3,0.1,12.6,157,1,0,23
Isaiah Williams,DET,WR137,0,0,0,13.6,161.8,1.1,0.1,22.5
Trent Sherfield Sr.,MIN,WR138,0,2,0,13.9,165.6,1,0,22.5
Marquez Valdes-Scantling,BUF,WR139,0,1,0,9.9,155,1.2,0,22.4
Bub Means,NO,WR140,0,0,0,13.2,160.2,1.1,0,22.3
JaMycal Hasty,NE,RB95,24,105.1,0.8,9.6,64.4,0.1,0.1,22.2
Parris Campbell,PHI,WR141,0,5,0,14,152,1,0,21.7
Robert Tonyan,MIN,TE58,0,0,0,15,153,1,0,21.3
Brandon Powell,MIN,WR142,1.9,14.6,0,14.7,143.4,0.9,0.1,21.1
Jawhar Jordan,HOU,RB96,0,121,1,4,27,0,0,20.8
Ainias Smith,PHI,WR143,0,6,0,11,141,1,0,20.7
Jamari Thrash,CLE,WR144,0,6,0,11,141,1,0,20.7
Darnell Washington,PIT,TE59,0,0,0,15.5,151.7,0.9,0,20.6
Ryan Flournoy,DAL,WR145,0,0,0,12,141.1,1.1,0,20.5
Deneric Prince,MIA,RB97,0,113,1,4,29,0,0,20.2
